0.56,1,0.96,0.99,0,0.03,0.33
0.46,1,0.01,0.96,0.27,0.01,0.33
0.2,0.99,1,0.57,0.01,0.01,0.33
0.09,1,0.96,0.85,0.02,0.16,0.33
0.58,1,0.96,0.96,0,0.55,0.33
0.13,1,1,0.96,0.47,0.18,0.33
0.66,1,1,0.07,0.88,0.6,0.33
0.36,1,0.36,1,0.62,0.21,0.33
0.32,0.99,0.01,0.85,0.27,0.01,0.33
0.36,0.92,0,1,0,0.02,0.33
0.04,0.27,0,1,0,0.02,0.33
0.04,1,0.01,1,0,0.49,0.33
0.01,0.59,0.01,1,0,0.44,0.33
0.01,0.85,0.36,1,0,0.02,0.33
0.36,0.27,0,1,0,0.49,0.33
0,0.96,0.36,1,0,0.51,0.33
0,0.59,0.01,0.99,0,0.44,0.33
0.04,0.98,0,1,0,0.46,0.33
0.97,0.74,0.36,1,0,0.53,0.33
0.04,0.42,0.01,0.99,0,0.1,0.33
0.01,1,0,0.96,0,0.02,0.33
0.99,1,0.36,0.85,0,0.02,0.33
0,0.27,0.96,0.57,0,0.02,0.33
0.02,1,1,0.57,0,0.1,0.33
0.01,0.74,0.36,0.57,0,0.02,0.33
0,0.85,0,1,0,0.03,0.33
0,0.92,0.01,0.07,0,0.03,0.33
0.01,0.99,0.36,0.96,0,0,0.33
0.09,1,0.36,0.57,0,0.01,0.33
0,0.92,1,1,0.01,0,0.33
0,0.96,0.96,1,0.04,0.03,0.33
0.01,0.99,0.96,0.57,0.13,0,0.33
0,0.85,1,1,0.27,0,0.33
0.01,1,1,1,0,0,0.33
0.01,0.96,1,0.24,0.02,0,0.33
0.01,0.99,0.96,0.96,0.01,0,0.33
0,0.98,1,0.57,0.01,0.01,0.33
0,0.99,1,0.85,0.04,0.01,0.33
0,1,0.96,0,0.07,0.01,0.33
0,1,1,1,0.1,0,0.33
0.97,0.01,0.96,0.24,0.95,1,0.67
1,0,0.01,0,1,1,0.67
0.96,0,0.36,0,0.99,1,0.67
0.96,0,0.36,0,1,1,0.67
1,0,0.96,0.24,0.88,1,0.67
1,0,0.01,0.57,0.62,1,0.67
0.94,0.01,0.36,0.85,0.91,1,0.67
1,0,1,0,0.97,1,0.67
1,0,0.36,0,0.98,1,0.67
1,0,0.96,0.02,0.99,1,0.67
1,0.01,0.01,0.02,0.93,1,0.67
1,0,0,0,1,1,0.67
1,0.01,0.96,0,1,0.96,0.67
1,0,1,0,1,1,0.67
1,0,1,0.85,0.85,1,0.67
1,0,0.01,0.02,0.95,1,0.67
1,0,0.36,0.57,0.97,1,0.67
0.56,0,1,0,0.06,1,0.67
1,0.01,1,0,0.47,1,0.67
0.96,0,0.01,0,0.1,1,0.67
1,0.01,0.96,0,0.85,0.98,0.67
0.99,0.01,0.36,0.02,0.91,1,0.67
0.88,0,1,0.02,0.93,1,0.67
0.98,0,1,0.07,0.62,0.94,0.67
0.99,0.01,0.01,0,0.97,0.7,0.67
1,0,0.01,0,1,1,0.67
1,0,0.36,0.07,0.98,1,0.67
1,0,0.96,0,0.4,1,0.67
0.99,0,0.36,0,1,1,0.67
0.99,0,0.01,0,0.88,1,0.67
0.92,0.01,0.36,0.57,0.91,1,0.67
0.97,0,0.01,0.85,0.95,1,0.67
0.75,0,0.36,0,0.88,1,0.67
0.19,0,0.36,0,0.95,1,0.67
0,1,0.01,0.24,1,0,1
0.02,0.99,0.36,0.02,1,0,1
0.01,1,0.01,0,1,0,1
0.01,0.99,0.01,0.24,1,0,1
0,1,0.36,1,1,0,1
0,1,0.96,0.96,1,0,1
0,1,0,0.99,1,0,1
0,0.99,1,0,1,0,1
0.03,1,0.96,0,1,0,1
0.02,1,0.36,0.85,1,0,1
0.01,0.99,0.01,0.96,1,0,1
0.01,0.99,0.01,1,1,0,1
0.04,1,0.36,0.24,1,0,1
